CITY OF BELLINGHAM Mayor - Precinct Results 11/07/2023
"","Seth Fleetwood","Kim Lund","WRITE-IN"
"Total","14409","16436","189"
"201","182","222","3"
"202","269","213","4"
"203","226","230","1"
"204","216","246","7"
"205","254","258","3"
"206","196","238","2"
"207","149","166","2"
"208","246","238","1"
"209","195","189","1"
"210","199","188","0"
"211","34","35","0"
"212","57","111","3"
"213","167","209","1"
"214","209","297","8"
"215","172","292","4"
"216","269","347","2"
"217","290","365","2"
"218","207","231","4"
"219","196","289","7"
"220","269","309","2"
"221","290","337","4"
"222","320","313","6"
"223","295","352","3"
"224","272","368","6"
"225","162","223","1"
"226","233","262","3"
"227","186","266","2"
"228","94","146","4"
"229","140","175","4"
"230","104","141","1"
"231","242","246","5"
"232","244","270","4"
"233","276","336","2"
"234","234","357","1"
"235","222","247","2"
"236","278","277","3"
"237","215","239","1"
"238","188","254","3"
"239","174","242","5"
"240","175","261","2"
"241","289","306","2"
"242","145","154","0"
"243","196","246","3"
"244","125","212","3"
"245","167","236","7"
"246","179","255","3"
"247","181","179","4"
"248","270","265","2"
"249","249","333","3"
"250","206","256","0"
"251","199","245","1"
"252","310","220","5"
"253","71","72","0"
"254","105","181","8"
"255","209","297","0"
"256","382","318","3"
"257","220","242","3"
"258","235","195","2"
"259","235","217","3"
"260","144","196","6"
"261","310","336","3"
"262","356","229","1"
"263","331","339","0"
"264","345","347","1"
"265","343","253","1"
"266","261","322","6"
